"","text","word_scores","compound","pos","neu","neg","but_count"
"2504","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 397,420,464,1131,Dose2 Capacity: 61,192,318,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2505","        I have already taken first dose of vaccine. after first dose can I go in crowd , college or other small functions.  It is safe or not for me .","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0}",0.44,0.088,0.912,0,0
"2506","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 400,420,464,1131,Dose2 Capacity: 61,192,319,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2507","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 400,420,464,1132,Dose2 Capacity: 61,195,319,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2508","          Ranchi women college  Vaccination Centre. Monday,28 june -21,12:30  PM. Booked the slot   yesterday,today  went to the centre but  vaccine is unavailable.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,1
"2509","Students aged 18 and over can receive their first Covid vaccine today in the mobile vaccination vehicle outside Wisemore Campus.  No appointment is necessary and you visit the bus between 10am and 4pm. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.296,0,0.936,0.064,0
"2510","A free Covid-19 Vaccination drive will be organized for students and staff at Sahyadri College of Engineering and management on 29th June 2021 at 10 AM. Reach out to Ankith S Kumar (9449845945) for any queries and clarifications.#sahyadri #vaccinationdrive #covid_19 #vaccine ","{0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.527,0.101,0.899,0,0
"2511","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 413,420,464,1141,Dose2 Capacity: 62,194,321,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2512","       #reopencollege #Reopencolleges PLEASE OPEN COLLEGE INSTITUTE WITH VACCINE CERTIFICATE AND MASK .       ","{0, 0, 0, 2.033, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.465,0.202,0.798,0,0
"2513","Vaccine program organised by NSS ,Smt.S.I.Patel Commerce College Petlad.170 + Students vaccinated#Unite2FightCorona       ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2514","          I stood for 3 hours straight under sun at SN college Navghar center after booking a slot online.When it was our turn to enter the center we were told that the vaccine is over. How? When it was booked how could it get over?However i took the jab next day at other center.","{0, 0, 0, 0, 0, 0, 0.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.309,0.041,0.959,0,0
"2515","   -The Biden administration and ICE still have no clear plan to provide vaccine access to the more than 22,100 detained people in ICE custody.-backing away from a promise of free college/university tuition for students from families making less than $125,000","{0, 0, 0, 0, 0, 0, 0, 0, 0, -1.184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.9637, 0, 0, 0, 0, 0, 0, 0, 1.3, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.116,0.117,0.775,0.108,0
"2516","Due to Covid-19 protocols, a College World Series run ends abruptly for North Carolina State. by BY LAUREN MCCARTHY via NYT New York Times ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2517","Wow. The brother of one of my college RAs died of COVID on June 6th at the age of 36. If youre an adult who is still vaccine hesitant, please, please reconsider.","{2.8, 0, 0, 0, 0, 0, 0, 0, 0, -2.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1.3, 1.3, 0}",0.421,0.205,0.659,0.137,0
"2518","Vaccination centers for 18-44 age group: 1. Mesco College Of Pharmacy (Asifnagar) - Pin: 500006Vaccine: COVISHIELD. Cost: Free Total 250 slots are available on Jun 28 (Dose1: 250, Dose2: 0) CoWin: ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.511,0.099,0.901,0,0
"2519","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 451,423,469,1180,Dose2 Capacity: 64,202,332,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2520","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 454,423,469,1182,Dose2 Capacity: 65,202,333,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2521","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 457,423,469,1184,Dose2 Capacity: 65,202,333,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
